0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:37 +0530] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:37 +0530] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:37 +0530] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:49 +0530] GET /carbon/styles/images/is-server-menu-header.png HTTP/1.1 200 204 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.003
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:49 +0530] GET /carbon/userstore/images/add.gif HTTP/1.1 200 407 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.003
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:49 +0530] GET /carbon/userstore/images/user-store.gif HTTP/1.1 200 617 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.007
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:49 +0530] GET /carbon/userstore_config/images/multiple-user-stores.png HTTP/1.1 200 783 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.006
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:49 +0530] GET /carbon/userstore_config/images/add.gif HTTP/1.1 200 407 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.007
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:49 +0530] GET /carbon/userstore_config/images/list.gif HTTP/1.1 200 216 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.005
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:49 +0530] GET /carbon/identity-claim-mgt/images/claims.gif HTTP/1.1 200 1046 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.003
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:49 +0530] GET /carbon/identity-claim-mgt/images/add.gif HTTP/1.1 200 407 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.004
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:49 +0530] GET /carbon/userstore/images/list.gif HTTP/1.1 200 216 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.018
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:49 +0530] GET /carbon/identity-claim-mgt/images/list.gif HTTP/1.1 200 216 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.004
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:49 +0530] GET /carbon/application/images/list.png HTTP/1.1 200 216 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.009
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:49 +0530] GET /carbon/application/images/add.png HTTP/1.1 200 639 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.018
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:49 +0530] GET /carbon/application/images/local-sp.png HTTP/1.1 200 576 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.010
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:49 +0530] GET /carbon/application/images/service-provider.png HTTP/1.1 200 670 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.022
0:0:0:0:0:0:0:1 - - [27/Jul/2020:11:23:49 +0530] GET /carbon/idpmgt/images/trust.png HTTP/1.1 200 775 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 0.010
